Название,Энергия (ккал),Белки (г),Углеводы (г),Жиры (г)
Чернослив в шоколаде,387,6,19,50
Вечерний коктейль Гербалайф Herbalife,357,38,2,41
Пряники мятные Яшкино,361,5,1,77
Конфеты глазированные Птичье молоко Жако,423,2,18,63
фарш говяжий жаренный,177,18,11,4
курица в сливочном соусе,155,17,9,1
Рыба тушеная в томате с овощами,110,14,4,7
Сыр плавленый ломтевой Чизбургер Président,227,12,17,6
Джем вишневый Махеевъ,272,0,0,68
Пиво светлое 3.9% Svetle Pivo Velkopopovicky Kozel Козел,36,0,0,3
Кизил свежий,45,1,0,10
конфеты ассорти темный и молочный шоколад А. Коркунов,558,7,36,51
рогалик с повидлом,360,7,11,58
Сметана 22% Бабушкина крынка,220,2,22,3
Чай зеленый с мелиссою Fresh Melissa Greenfield,0,0,0,0
Суп с белокочанной капустой. картофелем. морковью,17,0,0,4
Латте на кокосовом молоке,27,0,2,2
Йогурт питьевой белый без наполнителя без сахара 1.6% Молокия,49,4,2,5
Свинина тушеная (лопатка),257,16,22,0
мягкие вафли Мяфли Акульчев,468,6,28,48
Коллаген LeafToGo,334,83,0,0.2
Арахис в оболочке со вкусом Васаби Big Bob,521,14,37,34
изолят протеина ZERO salted caramel flavoured со вкусом соленой карамели BioTechUSA,377,84,2,5
Карпачо из мяса птицы Мясной Двор,100,17,3,0
Профитроль с заварным кремом,232,6,12,26
яблоко чемпион,47,0.4,0.4,10
Осетинский пирог с мясом,216,9,9,23
Молоко 2.5% Кубанская Бурёнка,53,3,2,5
Шоколад Gourmet Arriba горький 77.7% OZera,547,8,46,26
Сосиски из мяса курицы классические Мишутка,220,10,19,2
Протеин Matrix шоколад Syntrax,387,74,6,10
белый йогурт 3.5% Белый замок,81,5,4,7
Тыква тушеная,27,2,0.14,4
Яблоко Фуджи,53,0.26,0.17,14
кетчуп для гриля и шашлыка Heinz,95,1,0.1,25
омлет из 2 яиц со сметаной,174,10,14,2
сыр плавленый cheddar Sertop,276,18,20,6
Ролл с курицей из лаваша,221,8,12,21
жвачка Winterfresh Orbit,145,0,0,60
Оливье салат без майонеза,119,6,6,9
Куриный бризоль,165,14,8,9
крекер Будь здоров с отрубями Белогорье,400,8,10,69
жевательные конфеты ассорти с фруктовым соком (со вкусами клубники. апельсина и лимона) Фрутелла Fruit-tella,405,0.9,7,83
Скумбрия консерва,174,15,16,0
Суп-харчо,93,3,6,5
белый хлеб на закваске,186,5,0.6,41
Свежевыжатый яблочный сок,42,0.07,0.1,11
Омлет из 3 яиц на воде,120,9,8,0.51
Суп картофельный со свиной тушёнкой.,85,3,4,9
Суп куриный (с курицей и грибами),47,4,2,3
гарячий бутерброд с сыром,228,10,9,25
Мороженое пломбир Малюк-Ам Ласунка,291,5,16,32
биокефир 1% Здравушка,35,3,1,4
Морковный сок,40,0.95,0.15,9
Фасоль красная консервированная Красная Цена,84,6,0,15
Куриное бедро тушеное без кожи,195,25,10,0
Печенье сдобное 'Шарлиз' апельсин,297,4,4,60
Масло сладкосливочное несоленое Крестьянское 72.5% Красная цена,662,1,72,1
Масло льняное нерафенированное Здоровое меню,900,0,100,0
Йогурт белый по-гречески густой 8% Молокия,107,4,8,5
свинина варено-копченая,260,18,12,1
пиво специальное 6.5% светлое со вкусом лайма и мяты Эсса Essa,64,0.3,0,6
мидии жареные,59,11,2,0
буряк отв+майонез+чеснок,123,2,8,10
Кабачок в кляре с чесноком,94,2,6,7
Салат из свежей капусты. моркови и свеклы,81,1,5,7
Свекла запеченная целая,47,2,0.03,9
Киш с курицей и грибами,276,12,18,13
Манты из говядины с тыквой,168,8,5,24
ролини с курицей,215,7,11,23
Хлебцы из бурого риса Rice Cakes Trapeza,325,7,1,74
Суп рисовый со свининой,63,3,4,4
батончик двойной шоколад в темной глазури Смартбар Smartbar,387,20,9,61
Рулетики из кабачков с твороженным сыром.,100,2,5,4
сардельки лионские Добров,259,11,22,4
Соус песто,560,5,47,4
булочка сдобная в упаковке,345,9,8,59
сервелат Венгерский Брестский мясокомбинат,402,13,40,0
Сырники домашние из обезжиренного творога,103,15,2,6
Горбуша на пару,145,21,7,0.1
Продукт творожный вишня и банан Данон Danone,108,6,4,13
Семечки качественной обжарки солёные Солнечный великан Джинн,660,27,58,9
Печенье деревенское к кофе Сладкая Слобода,462,8,18,66
кефир обезжиренный 0% Первый вкус,28,3,0.1,4
Перец фаршированный домашний,64,10,0.51,4
Чай холодный черный со вкусом лимона Lipton Липтон,20,0.5,0.5,5
Омлет с грибами,125,8,9,3
хлебцы хрустящие К завтраку Невская мельница Сладкая Жизнь,330,10,2,69
Жареные ребра свиные,321,15,29,0
Кофе натуральный молотый Традиционный Жокей,0,0,0,0
Халва глазированная шоколадной глазурью РОТ ФРОНТ,530,14,32,44
Квас Русский дар,28,0.5,0,7
Суп с пшеном,57,3,2,6
молоко 2.0% Вятушка,49,3,2,5
Салатный микс руккола шпинат,25,3,0.7,2
жевательная резинка со вкусом мяты без сахара Дирол Dirol,169,0.3,0.6,67
