Название,Энергия (ккал),Белки (г),Углеводы (г),Жиры (г)
Варенье из чёрной смородины,284,0.6,0.1,72
соль,0,0,0,0
Йогурт питьевой 2.4% вишня-черешня Чудо,93,3,2,15
котлета говяжья жареная,197,11,11,14
Рис бурый отварной,111,3,0.8,24
Булочка,361,8,11,45
Манго,75,0.6,0.45,16
куриное филе тушеное,151,29,4,0
ряженка 2.5%,51,3,2,4
Гречка с мясом,117,8,3,13
ячневая каша вареная на воде,76,2,0.3,16
кабачок запеченый в духовке,24,1,0.3,4
сыр Гауда 45%,316,23,25,0
Чай с ромашкой без сахара,1,0,0.1,0
рыба минтай запеченная,81,16,1,0.45
Брынза из коровьего молока,260,18,20,0
Творожная запеканка с манкой,200,14,8,16
Сыр твердый Голландский 45% Клуб сиру,341,26,26,0.5
кофе с молоком 1.5% и сахаром,21,1,0.6,3
кофе с молоком 2.5 % без сахара,17,1,0.9,2
тефтели свиные с рисом,214,13,14,8
Колбаса жареная,132,15,26,0.59
Рагу овощное с курицей,84,7,3,5
шаурма с курицей и овощами,143,5,6,16
Банан-мини,80,1,0.4,20
рыба карась жареная,131,17,5,3
Торт Медовик,478,6,29,49
изюм кишмиш,299,3,0.46,79
сибирская клетчатка Витаминая поляна,81,8,3,5
миндаль жареный,645,19,58,14
Кабачковые оладьи с мукой,229,3,13,24
Шпинат,29,2,0.36,3
Суп гороховый с курицей,55,4,1,6
Мясо вареное куриное,204,18,18,1
курица домашняя вареная,190,21,12,0
Тушеная капуста с морковью,40,1,2,5
сыр Пармезан 40%,342,35,24,0
Курица гриль,193,25,10,2
Авакадо Хаас ВВ,160,2,15,9
хлеб зерновой,260,10,4,41
куриная ножка в духовке,191,27,12,0
Кетчуп Лагідний нежный Торчин,106,2,0.3,23
Овсянка вареная,136,6,2,22
Семена кунжута,664,22,58,4
кабачковая икра домашняя,64,1,3,8
Лимонад,40,0.1,0,10
Пирожное Choco Pie Чокопай rich Marshmallow Lotte,274,0,17,30
Майонез оливковый 67% Махеевъ,462,0.5,50,1
Жареная сосиска,300,11,30,3
Чай черный с сахаром,23,0.1,0,6
варенье абрикосовое,257,0.42,0.1,64
Сок томатный,21,1,0.1,4
конфеты в кокосовой стружке с целым миндалем Raffaello Рафаэлло,621,7,48,39
Индейка вареная,135,23,4,0.3
Масло льняное,900,0,100,0
Торт,250,6,14,24
Желтый болгарский перец,30,1,0.39,5
Хлебцы злаковый коктель Dr. Korner,290,10,2,58
Водка,234,0,0,0.15
Сыр сулугуни 40%,272,23,20,0
миндаль сушеный,613,20,53,7
Салат из свежих помидоров,56,1,4,3
Куриное филе на гриле,150,29,4,2
Котлета куриная рубленная,125,19,4,3
салат из капусты с огурцом,34,2,0.84,5
Компот из вишни,53,0.3,0.08,14
Яблоко Айдаред,46,0.4,0.4,9
Рисовый суп с курицей,59,4,1,8
Зеленый чай,0.96,0,0,0.1
сушки простые,339,11,1,71
руккола свежая,28,2,0.7,3
Гречневая каша с маслом,120,2,5,18
Икра красная,245,28,15,4
сухари с изюмом,355,10,5,88
Грибы жареные,68,3,5,3
Американо с молоком без сахара,27,1,1,2
Арахисовая паста,588,25,50,20
Милка alpine milk молочный шоколад Milka,529,6,29,59
картофель фри,275,4,12,35
Шоколад молочный с дробленым фундуком Alpen gold Альпен голд,537,6,36,48
Варенье вишневое,256,0,0,64
овощи запеченные в духовке,33,0.9,1,5
чечевица красная вареная,138,12,0.4,25
Запечённый баклажан,29,1,0.2,4
Печенье с какао и начинкой с ванильным вкусом покрыто глазурью из какао Oreo,530,5,25,69
жареные пельмени,256,15,12,17
Овощной салат со сметаной,54,2,4,4
Хурма свежая,58,0.4,0.19,13
плов без мяса,119,3,3,20
салат ( огурцы. помидоры. капуста. майонез),69,2,5,4
икра из баклажан,50,1,2,6
хлеб тостовый белый American sandwich Harry's,260,7,4,47
Свинина постная отварная,160,19,7,0
минтай жареный,125,16,5,2
сырок глазированный 23%,400,10,26,32
Сыр Маасдам 45%.,338,26,26,0
яишница глазунья без масла,175,13,15,2
Мини-пицца,153,5,11,4
сыр Адыгейский 45%,264,20,20,2
Окрошка с майонезом,92,3,7,4
борщ украинский,51,1,2,7
Чай каркаде без сахара,5,0.3,0,0.6
Сыр творожный Sveza для салата сливочный Савушкин,194,10,16,2
Салат из помидор и огурцов с маслом и зеленью,58,0.93,5,3
морковь вареная,35,0.76,0.18,8
Вода с медом и лимоном,12,0.09,0.01,3
Рассольник,37,2,1,4
протеин,389,78,4,11
вафли шоколадные,535,4,34,57
Шампиньоны жареные,50,3,3,3
Грудинка варено-копченая,300,14,27,1
кофе с молоком 3.2% и сахаром,80,3,4,9
Скумбрия малосольная,150,19,9,0
Молочный шоколад Алёнка Красный октябрь,550,7,34,53
Куриные крылышки в духовке,290,27,20,0
Печенье юбилейное традиционное с 1913 Большевик,463,8,18,67
Свиная сарделька,334,10,32,0
Картошка тушеная со свининой,142,6,9,9
Живое пиво,42,0.3,0,5
чебурек по-домашнему,275,11,15,23
Красная фасоль вареная,127,9,0.5,23
конфеты Ромашка,437,3,14,74
хлопья овсяные,400,13,7,68
Пельмени домашние куриные,164,16,3,19
Йогурт питьевой натуральный обогащенный бифидобактериями 2.4% Активиа Activia Danone,57,4,2,5
Чипсы картофельные со вкусом краба Lays,504,6,30,53
Шампиньоны,28,3,0.24,3
Мармелад фруктовый,177,0.4,0.2,42
халва подсолнечная,516,12,30,54
картошка тушеная с курицей,149,8,9,9
Тефтели куриные,134,17,1,12
рыба минтай отваренная,72,18,1,0
Грудка куриная жареная без масла,110,26,1,0.5
Филе куриное жареное без масла,118,26,1,0.5
индейка запеченная в духовке,170,29,5,0
картофель вареный в мундирах,92,2,0.1,21
Овсяное печенье,450,6,18,69
желток яйца вареный,354,16,31,4
пицца пепперони,255,14,10,28
Шоколадный торт,440,6,26,46
сыр полутвердый 50% Ламбер,364,23,29,0
булка,267,8,0.9,55
Сулугуни,293,21,23,0.48
Гуляш из говядины,148,14,9,3
сало копчёное с прослойкой мяса,543,10,53,34
Cалат селёдка под шубой,197,6,16,8
Конфеты батончики Рот-Фронт,514,11,29,53
Шоколад Киндер с молочной начинкой chocolate Kinder,564,9,35,54
кукурузные хлопья с молоком,127,4,3,20
Творог 1% Хуторок Савушкін Савушкин,86,18,1,1
Сыр плавленный,226,24,14,0
Помидоры розовые,22,0.85,0.25,4
Суп овощной на воде,26,2,1,2
Сырники с рисовой мукой ПП,162,13,4,19
яичный жареный белок,45,9,0.5,0.63
сыр Бри,291,21,28,0.45
Печенье шоколадный брауни Protein Cookie Bombbar,271,25,10,13
Печенье топленое молоко,460,7,18,66
Грецкий орех ядро Россия,656,16,61,11
Отруби хрустящие ржаные экструдированные Ого!,270,13,2,40
Хлебцы вафельные ржаные легкие Лайт Хлебцы-молодцы,345,10,5,65
Макароны с тушенкой,186,8,14,14
Шарлотка домашняя,80,2,1,15
Свиная отбивная в кляре,279,24,18,4
Салат греческий с фетой,108,4,9,4
Хлеб бездрожжевой,230,7,4,49
Мясо по-французски,251,7,23,5
Гречка с молоком,137,5,3,22
гороховое пюре,117,7,3,17
Куриный суп с картофелем,45,3,2,2
Сельдерей стебель,21,0.7,0.2,3
хлеб белый нарезной,253,11,4,44
Кетчуп шашлычный Махеевъ,59,0.9,0,14
оливки зеленые,132,1,12,5
роллы запеченные,175,4,4,29
Суши Ассорти,224,10,8,25
Отварная картошка с маслом,128,2,7,14
Окрошка на кефире,47,3,2,4
фасоль стручковая отварная.,35,2,0.3,8
Блины,190,6,7,29
Сосиска молочная,261,11,22,0.4
Бедро куриное жаренное,247,25,15,0.4
Кешью жареный,572,18,42,30
Гренки из белого хлеба с яйцом (без молока),342,10,14,49
макароны с жареным фаршем,197,10,12,11
Круассан,406,8,21,46
Пастила ассорти вкусов без сахара Пастилушка,263,2,0,59
лапша быстрого приготовления со вкусом курицы ролтон Rollton,849,100,23,61
Сыр творожный сливочный Sveza Савушкин,231,6,22,3
ленивые голубцы,124,7,5,12
Пирожок с капустой,253,6,10,34
Печенье песочное орешки со сгущенкой,394,7,15,61
колбаса ветчиная,230,12,20,1
компот из свежих фруктов,54,0.59,0.18,15
Масло сливочное 82.5% Брест-Литовск,734,0.5,82,0.8
Булгур с маслом сливочным,147,4,4,24
яичница с колбасой,230,15,18,2
Горчица,139,10,5,14
мука пшеничная высшего сорта,327,10,0.9,74
Яблоко печеное без сахара,49,0.4,0.4,10
Бисквитный пирог,281,8,5,52
Зефир белый,310,1,0,81
Вафли со сливочным вкусом Яшкино,482,4,26,58
Гранат,100,2,1,19
печенье крекер,352,11,13,67
хлеб пшеничный,242,11,4,49
яицо отварное,160,13,12,0.8
Корица молотая,248,4,2,28
орехи фисташки жареные соленые,564,21,45,29
овощи тушеные. кабачок. свекла. морковь. лук,70,1,5,6
варено-копченая колбаса Сервелат,360,28,28,0
Сметана 15% Брест-Литовск,155,3,15,3
вино красное полусладкое,72,0.1,0,4
Хлеб с семечками,260,8,5,36
Аджика домашняя Домашние заготовки,60,1,2,10
Творожок 3.5% кокос-миндаль Савушкин,112,7,4,13
Хачапури с сыром,305,11,15,34
гречка,329,13,3,68
кукуруза,132,4,2,24
шоколадная ореховая паста с лесным орехом и какао Ferrero Nutella,538,6,31,58
Творог домашний 18%,236,14,18,3
Картофель жареный без лука,192,3,10,23
Суп гороховый с копченостями,91,3,6,7
панкейки,285,5,12,36
греча перевареная,64,2,0.7,14
ряженка 4%,67,3,4,4
бублики простые,257,10,1,50
Курица отварная без кожи,138,30,2,0
Цикорий с молоком и сахаром,29,0.5,0.4,6
Сало свиное свежее,896,0.2,100,0
Самса с курицей,325,11,24,17
Перец фаршированный куриным фаршем,97,9,4,5
Йогурт 2.2% со злаками с бифидобактериями Активиа Activia Danone,74,3,2,10
кукурузная каша на воде без сахара,90,3,0.46,20
